X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.755,-0.195,0.755,10.1034,86.144259730,8255
0.755,-0.195,0.765,257.63,86.144259730,8255
0.755,-0.185,0.765,262.713,86.144259730,8255
0.755,-0.175,0.755,21.5106,86.144259730,8255
0.755,-0.175,0.765,297.976,86.144259730,8255
0.755,-0.165,0.755,25.8815,86.144259730,8255
0.755,-0.165,0.765,324.433,86.144259730,8255
0.755,-0.155,0.755,25.9353,86.144259730,8255
0.755,-0.155,0.765,343.483,86.144259730,8255
0.755,-0.145,0.755,15.6179,86.144259730,8255
0.755,-0.145,0.765,246.852,86.144259730,8255
0.755,-0.135,0.755,8.64026,86.144259730,8255
0.755,-0.135,0.765,210.01,86.144259730,8255
0.755,-0.125,0.755,18.5655,86.144259730,8255
0.755,-0.125,0.765,205.935,86.144259730,8255
0.755,-0.115,0.755,23.1488,86.144259730,8255
0.755,-0.115,0.765,162.231,86.144259730,8255
0.755,-0.105,0.755,39.1692,86.144259730,8255
0.755,-0.105,0.765,166.426,86.144259730,8255
0.755,-0.095,0.755,53.2922,86.144259730,8255
0.755,-0.095,0.765,157.974,86.144259730,8255
0.755,-0.085,0.755,84.6843,86.144259730,8255
0.755,-0.085,0.765,148.659,86.144259730,8255
0.755,-0.075,0.755,128.295,86.144259730,8255
0.755,-0.075,0.765,115.583,86.144259730,8255
0.755,-0.065,0.755,125.649,86.144259730,8255
0.755,-0.065,0.765,111.378,86.144259730,8255
0.755,-0.055,0.755,151.7,86.144259730,8255
0.755,-0.055,0.765,141.541,86.144259730,8255
0.755,-0.045,0.755,170.072,86.144259730,8255
0.755,-0.045,0.765,164.561,86.144259730,8255
0.755,-0.035,0.755,366.363,86.144259730,8255
0.755,-0.035,0.765,350.563,86.144259730,8255
0.755,-0.025,0.755,390.212,86.144259730,8255
0.755,-0.025,0.765,511.686,86.144259730,8255
0.755,-0.015,0.755,431.879,86.144259730,8255
0.755,-0.015,0.765,609.757,86.144259730,8255
0.755,-0.005,0.755,492.483,86.144259730,8255
0.755,-0.005,0.765,670.043,86.144259730,8255
0.755,0.005,0.755,436.69,86.144259730,8255
0.755,0.005,0.765,621.496,86.144259730,8255
0.755,0.015,0.755,425.439,86.144259730,8255
0.755,0.015,0.765,644.574,86.144259730,8255
0.755,0.025,0.755,142.262,86.144259730,8255
0.755,0.025,0.765,380.271,86.144259730,8255
0.755,0.035,0.755,38.4867,86.144259730,8255
0.755,0.035,0.765,306.942,86.144259730,8255
0.755,0.045,0.755,26.4182,86.144259730,8255
0.755,0.045,0.765,350.085,86.144259730,8255
0.755,0.055,0.755,10.1364,86.144259730,8255
0.755,0.055,0.765,349.452,86.144259730,8255
0.755,0.065,0.755,10.3052,86.144259730,8255
0.755,0.065,0.765,392.554,86.144259730,8255
0.755,0.075,0.755,10.3412,86.144259730,8255
0.755,0.075,0.765,452.539,86.144259730,8255
0.755,0.085,0.765,341.983,86.144259730,8255
0.755,0.095,0.765,319.884,86.144259730,8255
0.755,0.105,0.765,361.047,86.144259730,8255
0.755,0.115,0.765,416.028,86.144259730,8255
0.755,0.125,0.765,488.854,86.144259730,8255
0.755,0.135,0.765,485.38,86.144259730,8255
0.755,0.145,0.765,444.929,86.144259730,8255
0.755,0.155,0.765,425.472,86.144259730,8255
0.755,0.165,0.765,396.855,86.144259730,8255
0.755,0.175,0.765,345.53,86.144259730,8255
0.755,0.185,0.765,327.72,86.144259730,8255
0.755,0.195,0.765,295.375,86.144259730,8255
0.765,-0.195,0.755,16.7476,86.144259730,8255
0.765,-0.195,0.765,269.48,86.144259730,8255
0.765,-0.185,0.755,17.0234,86.144259730,8255
0.765,-0.185,0.765,301.349,86.144259730,8255
0.765,-0.175,0.755,21.4377,86.144259730,8255
0.765,-0.175,0.765,354.427,86.144259730,8255
0.765,-0.165,0.755,28.3989,86.144259730,8255
0.765,-0.165,0.765,383.439,86.144259730,8255
0.765,-0.155,0.755,25.8633,86.144259730,8255
0.765,-0.155,0.765,414.933,86.144259730,8255
0.765,-0.145,0.755,15.4874,86.144259730,8255
0.765,-0.145,0.765,289.262,86.144259730,8255
0.765,-0.135,0.755,15.5479,86.144259730,8255
0.765,-0.135,0.765,291.797,86.144259730,8255
0.765,-0.125,0.755,29.7445,86.144259730,8255
0.765,-0.125,0.765,185.902,86.144259730,8255
0.765,-0.115,0.755,23.1297,86.144259730,8255
0.765,-0.115,0.765,158.051,86.144259730,8255
0.765,-0.105,0.755,34.8195,86.144259730,8255
0.765,-0.105,0.765,167.085,86.144259730,8255
0.765,-0.095,0.755,65.9125,86.144259730,8255
0.765,-0.095,0.765,181.18,86.144259730,8255
0.765,-0.085,0.755,63.0997,86.144259730,8255
0.765,-0.085,0.765,159.169,86.144259730,8255
0.765,-0.075,0.755,124.22,86.144259730,8255
0.765,-0.075,0.765,149.092,86.144259730,8255
0.765,-0.065,0.755,123.101,86.144259730,8255
0.765,-0.065,0.765,138.944,86.144259730,8255
0.765,-0.055,0.755,151.597,86.144259730,8255
0.765,-0.055,0.765,152.508,86.144259730,8255
0.765,-0.045,0.755,324.074,86.144259730,8255
0.765,-0.045,0.765,352.118,86.144259730,8255
0.765,-0.035,0.755,407.738,86.144259730,8255
0.765,-0.035,0.765,400.954,86.144259730,8255
0.765,-0.025,0.755,503.217,86.144259730,8255
0.765,-0.025,0.765,607.05,86.144259730,8255
0.765,-0.015,0.755,504.041,86.144259730,8255
0.765,-0.015,0.765,665.704,86.144259730,8255
0.765,-0.005,0.755,524.837,86.144259730,8255
0.765,-0.005,0.765,726.24,86.144259730,8255
0.765,0.005,0.755,544.549,86.144259730,8255
0.765,0.005,0.765,755.752,86.144259730,8255
0.765,0.015,0.755,502.385,86.144259730,8255
0.765,0.015,0.765,746.357,86.144259730,8255
0.765,0.025,0.755,491.758,86.144259730,8255
0.765,0.025,0.765,765.609,86.144259730,8255
0.765,0.035,0.755,250.652,86.144259730,8255
0.765,0.035,0.765,563.095,86.144259730,8255
0.765,0.045,0.755,128.292,86.144259730,8255
0.765,0.045,0.765,465.105,86.144259730,8255
0.765,0.055,0.755,49.3928,86.144259730,8255
0.765,0.055,0.765,392.458,86.144259730,8255
0.765,0.065,0.755,24.2213,86.144259730,8255
0.765,0.065,0.765,453.037,86.144259730,8255
0.765,0.075,0.755,10.4246,86.144259730,8255
0.765,0.075,0.765,471.344,86.144259730,8255
0.765,0.085,0.755,10.4523,86.144259730,8255
0.765,0.085,0.765,367.603,86.144259730,8255
0.765,0.095,0.755,10.5923,86.144259730,8255
0.765,0.095,0.765,356.423,86.144259730,8255
0.765,0.105,0.765,337.026,86.144259730,8255
0.765,0.115,0.765,355.661,86.144259730,8255
0.765,0.125,0.765,491.001,86.144259730,8255
0.765,0.135,0.765,489.66,86.144259730,8255
0.765,0.145,0.765,448.59,86.144259730,8255
0.765,0.155,0.765,431.099,86.144259730,8255
0.765,0.165,0.765,403.008,86.144259730,8255
0.765,0.175,0.765,340.751,86.144259730,8255
0.765,0.185,0.765,323.11,86.144259730,8255
0.765,0.195,0.765,290.796,86.144259730,8255
0.775,-0.195,0.755,16.6852,86.144259730,8255
0.775,-0.195,0.765,244.47,86.144259730,8255
0.775,-0.185,0.755,16.9463,86.144259730,8255
0.775,-0.185,0.765,253.27,86.144259730,8255
0.775,-0.175,0.755,21.295,86.144259730,8255
0.775,-0.175,0.765,351.271,86.144259730,8255
0.775,-0.165,0.755,21.4885,86.144259730,8255
0.775,-0.165,0.765,411.396,86.144259730,8255
0.775,-0.155,0.755,17.9932,86.144259730,8255
0.775,-0.155,0.765,441.627,86.144259730,8255
0.775,-0.145,0.755,15.3585,86.144259730,8255
0.775,-0.145,0.765,294.506,86.144259730,8255
0.775,-0.135,0.755,15.493,86.144259730,8255
0.775,-0.135,0.765,289.969,86.144259730,8255
0.775,-0.125,0.755,29.6617,86.144259730,8255
0.775,-0.125,0.765,220.528,86.144259730,8255
0.775,-0.115,0.755,18.7314,86.144259730,8255
0.775,-0.115,0.765,161.1,86.144259730,8255
0.775,-0.105,0.755,34.6478,86.144259730,8255
0.775,-0.105,0.765,169.91,86.144259730,8255
0.775,-0.095,0.755,48.6827,86.144259730,8255
0.775,-0.095,0.765,171.148,86.144259730,8255
0.775,-0.085,0.755,78.4009,86.144259730,8255
0.775,-0.085,0.765,210.421,86.144259730,8255
0.775,-0.075,0.755,93.3573,86.144259730,8255
0.775,-0.075,0.765,191.952,86.144259730,8255
0.775,-0.065,0.755,132.464,86.144259730,8255
0.775,-0.065,0.765,155.553,86.144259730,8255
0.775,-0.055,0.755,143.105,86.144259730,8255
0.775,-0.055,0.765,213.637,86.144259730,8255
0.775,-0.045,0.755,348.279,86.144259730,8255
0.775,-0.045,0.765,379.093,86.144259730,8255
0.775,-0.035,0.755,448.27,86.144259730,8255
0.775,-0.035,0.765,525.124,86.144259730,8255
0.775,-0.025,0.755,498.053,86.144259730,8255
0.775,-0.025,0.765,682.018,86.144259730,8255
0.775,-0.015,0.755,542.82,86.144259730,8255
0.775,-0.015,0.765,733.237,86.144259730,8255
0.775,-0.005,0.755,562.14,86.144259730,8255
0.775,-0.005,0.765,766.083,86.144259730,8255
0.775,0.005,0.755,569.357,86.144259730,8255
0.775,0.005,0.765,803.357,86.144259730,8255
0.775,0.015,0.755,531.921,86.144259730,8255
0.775,0.015,0.765,806.721,86.144259730,8255
0.775,0.025,0.755,558.661,86.144259730,8255
0.775,0.025,0.765,833.701,86.144259730,8255
0.775,0.035,0.755,477.086,86.144259730,8255
0.775,0.035,0.765,986.624,86.144259730,8255
0.775,0.045,0.755,294.305,86.144259730,8255
