y,u
-0.495,	370.425
-0.485,	355.717
-0.475,	318.317
-0.465,	316.049
-0.455,	304.152
-0.445,	290.450
-0.435,	276.209
-0.425,	263.591
-0.415,	263.254
-0.405,	273.922
-0.395,	275.231
-0.385,	248.215
-0.375,	257.220
-0.365,	233.431
-0.355,	227.009
-0.345,	218.534
-0.335,	213.600
-0.325,	197.252
-0.315,	206.965
-0.305,	191.38
-0.295,	184.679
-0.285,	185.243
-0.275,	168.409
-0.265,	193.569
-0.255,	176.260
-0.245,	189.054
-0.235,	180.128
-0.225,	184.491
-0.215,	202.223
-0.205,	189.657
-0.195,	195.827
-0.185,	193.521
-0.175,	195.053
-0.165,	207.634
-0.155,	202.060
-0.145,	202.204
-0.135,	203.896
-0.125,	202.841
-0.115,	207.823
-0.105,	216.005
-0.095,	216.058
-0.085,	218.643
-0.075,	207.635
-0.065,	216.384
-0.055,	204.295
-0.045,	217.595
-0.035,	229.397
-0.025,	251.242
-0.015,	269.258
-0.005,	319.044
0.005,	323.205
0.015,	362.926
0.025,	366.668
0.035,	387.307
0.045,	389.438
0.055,	369.297
0.065,	367.451
0.075,	353.015
0.085,	324.900
0.095,	295.265
0.105,	255.437
0.115,	288.268
0.125,	248.854
0.135,	237.074
0.145,	211.405
0.155,	238.263
0.165,	226.362
0.175,	221.836
0.185,	204.485
0.195,	220.434
0.205,	230.309
0.215,	224.959
0.225,	198.808
0.235,	171.923
0.245,	183.419
0.255,	162.661
0.265,	160.235
0.285,	157.652
0.285,	163.615
0.295,	175.596
0.305,	179.23
0.315,	225.117
0.325,	223.192
0.335,	252.022
0.345,	245.184
0.355,	259.801
0.365,	277.031
0.375,	278.758
0.385,	270.246
0.395,	299.613
0.405,	306.19
0.415,	320.524
0.425,	294.28
0.435,	315.592
0.445,	331.043
0.455,	336.3
0.465,	356.877
0.475,	351.165
0.485,	347.44
0.495,	348.215
