y,u
-0.495,	409.210
-0.485,	331.852
-0.475,	323.815
-0.465,	325.983
-0.455,	292.570
-0.445,	289.257
-0.435,	293.559
-0.425,	270.947
-0.415,	266.562
-0.405,	267.853
-0.395,	273.952
-0.385,	247.964
-0.375,	232.809
-0.365,	221.244
-0.355,	219.751
-0.345,	208.173
-0.335,	205.744
-0.325,	193.618
-0.315,	196.930
-0.305,	205.464
-0.295,	190.815
-0.285,	177.927
-0.275,	177.523
-0.265,	178.571
-0.255,	177.419
-0.245,	176.892
-0.235,	184.440
-0.225,	189.337
-0.215,	186.885
-0.205,	189.079
-0.195,	180.495
-0.185,	197.762
-0.175,	193.566
-0.165,	190.678
-0.155,	186.415
-0.145,	203.058
-0.135,	208.072
-0.125,	202.853
-0.115,	207.651
-0.105,	202.341
-0.095,	209.789
-0.085,	206.298
-0.075,	221.053
-0.065,	203.635
-0.055,	194.015
-0.045,	230.784
-0.035,	218.688
-0.025,	245.551
-0.015,	268.316
-0.005,	296.837
0.005,	331.358
0.015,	360.313
0.025,	360.184
0.035,	355.019
0.045,	375.825
0.055,	355.832
0.065,	369.618
0.075,	354.358
0.085,	314.240
0.095,	300.336
0.105,	279.932
0.115,	265.499
0.125,	247.646
0.135,	227.817
0.145,	244.491
0.155,	231.931
0.165,	238.528
0.175,	233.280
0.185,	225.241
0.195,	210.766
0.205,	224.689
0.215,	221.645
0.225,	192.351
0.235,	187.191
0.245,	166.414
0.265,	178.964
0.275,	183.911
0.285,	205.824
0.295,	214.493
0.305,	225.746
0.315,	232.034
0.325,	256.943
0.335,	242.697
0.345,	251.321
0.355,	276.928
0.365,	303.273
0.375,	296.505
0.385,	274.481
0.395,	286.393
0.405,	308.197
0.415,	321.161
0.425,	304.935
0.435,	323.771
0.445,	324.553
0.455,	335.639
0.465,	351.487
0.475,	344.807
0.485,	355.744
0.495,	337.557
