y,u
-0.505,	397.247
-0.495,	383.518
-0.485,	369.913
-0.475,	318.007
-0.465,	317.228
-0.455,	303.617
-0.445,	292.573
-0.435,	289.277
-0.425,	277.936
-0.415,	275.994
-0.405,	264.416
-0.395,	261.672
-0.385,	249.063
-0.375,	248.786
-0.365,	234.053
-0.355,	233.276
-0.345,	220.180
-0.335,	220.383
-0.325,	205.701
-0.315,	204.750
-0.305,	200.704
-0.295,	190.198
-0.285,	178.225
-0.275,	190.121
-0.265,	177.515
-0.255,	188.598
-0.245,	177.641
-0.235,	190.472
-0.225,	189.739
-0.215,	185.742
-0.205,	190.102
-0.195,	205.809
-0.185,	202.425
-0.175,	201.061
-0.165,	190.404
-0.155,	203.113
-0.145,	202.886
-0.135,	203.448
-0.125,	203.960
-0.115,	216.378
-0.105,	204.002
-0.095,	204.099
-0.085,	217.140
-0.075,	215.989
-0.065,	217.702
-0.055,	217.524
-0.045,	231.156
-0.035,	230.492
-0.025,	256.385
-0.015,	281.481
-0.005,	307.937
0.005,	346.780
0.015,	360.326
0.025,	374.901
0.035,	376.835
0.045,	376.709
0.055,	376.979
0.065,	368.801
0.075,	353.033
0.085,	328.561
0.095,	304.061
0.105,	264.432
0.115,	250.904
0.125,	251.254
0.135,	238.622
0.145,	237.778
0.155,	225.605
0.165,	225.491
0.175,	225.810
0.185,	225.152
0.195,	224.323
0.205,	211.329
0.215,	211.040
0.225,	212.811
0.235,	225.414
0.275,	186.846
0.285,	198.666
0.295,	225.438
0.305,	239.084
0.315,	238.495
0.325,	239.033
0.335,	251.965
0.355,	262.991
0.365,	263.489
0.375,	291.342
0.385,	292.471
0.395,	291.934
0.405,	307.278
0.415,	303.751
0.425,	319.594
0.435,	319.858
0.445,	332.941
0.455,	347.867
0.465,	348.192
0.475,	351.526
0.485,	367.601
0.495,	363.72
