y,u
-0.495,	296.779
-0.485,	252.859
-0.475,	240.915
-0.465,	252.597
-0.455,	221.574
-0.445,	220.439
-0.435,	216.038
-0.425,	203.076
-0.415,	200.381
-0.405,	195.043
-0.395,	196.687
-0.385,	183.070
-0.375,	178.719
-0.365,	175.739
-0.355,	168.635
-0.345,	157.172
-0.335,	159.810
-0.325,	156.098
-0.315,	148.59
-0.305,	141.977
-0.295,	150.057
-0.285,	151.483
-0.275,	148.123
-0.265,	146.666
-0.255,	135.946
-0.245,	135.024
-0.235,	135.047
-0.225,	138.163
-0.215,	154.331
-0.205,	152.746
-0.195,	148.815
-0.185,	139.243
-0.175,	143.134
-0.165,	152.631
-0.155,	145.355
-0.145,	153.069
-0.135,	154.174
-0.125,	152.652
-0.115,	153.819
-0.105,	161.809
-0.095,	148.795
-0.085,	163.295
-0.075,	173.298
-0.065,	174.060
-0.055,	158.650
-0.045,	177.013
-0.035,	197.325
-0.025,	261.291
-0.015,	290.55
-0.005,	296.022
0.005,	287.476
0.015,	318.401
0.025,	316.604
0.035,	327.193
0.045,	306.620
0.055,	320.301
0.065,	306.924
0.075,	280.386
0.085,	256.359
0.095,	218.086
0.105,	207.16
0.115,	197.551
0.125,	199.096
0.135,	171.571
0.145,	172.410
0.155,	174.346
0.165,	181.854
0.175,	183.567
0.185,	151.641
0.255,	135.921
0.265,	152.99
0.275,	148.273
0.285,	179.036
0.295,	177.567
0.305,	193.614
0.315,	184.091
0.325,	199.819
0.335,	202.455
0.345,	199.789
0.355,	200.152
0.365,	177.501
0.375,	188.487
0.385,	214.2
0.395,	223.622
0.405,	216.033
0.415,	231.882
0.425,	248.173
0.435,	264.102
0.445,	264.601
0.455,	272.832
0.465,	281.2
0.475,	279.364
0.485,	287.608
0.495,	291.032
