y,u
-0.495,	383.879
-0.485,	379.575
-0.475,	317.207
-0.465,	312.924
-0.455,	302.626
-0.445,	291.913
-0.435,	273.953
-0.425,	276.404
-0.415,	276.029
-0.405,	276.811
-0.395,	266.436
-0.385,	259.123
-0.375,	241.566
-0.365,	237.621
-0.355,	236.673
-0.345,	206.654
-0.335,	217.994
-0.325,	205.003
-0.315,	191.222
-0.305,	203.793
-0.295,	191.019
-0.285,	175.330
-0.275,	176.155
-0.265,	176.550
-0.255,	177.635
-0.245,	176.309
-0.235,	186.545
-0.225,	173.434
-0.215,	189.252
-0.205,	189.948
-0.195,	187.973
-0.185,	191.630
-0.175,	196.410
-0.165,	199.926
-0.155,	202.339
-0.145,	202.970
-0.135,	207.367
-0.125,	218.213
-0.115,	216.542
-0.105,	203.401
-0.095,	214.511
-0.085,	216.811
-0.075,	215.939
-0.065,	205.946
-0.055,	217.716
-0.045,	225.758
-0.035,	235.696
-0.025,	243.048
-0.015,	294.212
-0.005,	308.012
0.005,	345.332
0.015,	345.359
0.025,	358.459
0.035,	394.203
0.045,	400.098
0.055,	366.820
0.065,	363.725
0.075,	353.025
0.085,	325.320
0.095,	304.786
0.105,	264.895
0.115,	252.911
0.125,	248.56
0.135,	224.057
0.145,	220.308
0.155,	225.058
0.165,	234.581
0.175,	221.452
0.185,	198.087
0.195,	221.423
0.205,	210.778
0.215,	224.885
0.225,	196.772
0.235,	198.360
0.245,	170.966
0.255,	182.643
0.285,	160.313
0.295,	190.338
0.305,	217.549
0.315,	226.835
0.325,	238.823
0.335,	239.231
0.345,	251.077
0.355,	251.581
0.365,	265.218
0.375,	250.808
0.385,	276.929
0.395,	291.571
0.405,	304.087
0.415,	304.901
0.425,	304.976
0.435,	306.03
0.445,	330.076
0.455,	335.125
0.465,	347.253
0.475,	348.895
0.485,	355.324
0.495,	350.854
