y,u
-0.495,	366.562
-0.485,	345.191
-0.475,	316.648
-0.465,	319.812
-0.455,	308.487
-0.445,	292.142
-0.435,	274.758
-0.425,	274.123
-0.415,	275.277
-0.405,	271.432
-0.395,	257.198
-0.385,	249.513
-0.375,	231.266
-0.365,	232.915
-0.355,	218.245
-0.345,	203.347
-0.335,	214.209
-0.325,	202.702
-0.315,	203.43
-0.305,	186.257
-0.295,	192.650
-0.285,	184.785
-0.275,	178.486
-0.265,	185.189
-0.255,	182.162
-0.245,	178.695
-0.235,	181.823
-0.225,	192.726
-0.215,	185.636
-0.205,	187.492
-0.195,	189.506
-0.185,	192.852
-0.175,	191.313
-0.165,	205.284
-0.155,	192.792
-0.145,	205.933
-0.135,	192.129
-0.125,	200.416
-0.115,	207.250
-0.105,	203.770
-0.095,	219.288
-0.085,	205.254
-0.075,	205.665
-0.065,	220.746
-0.055,	205.163
-0.045,	225.787
-0.035,	232.344
-0.025,	246.201
-0.015,	283.599
-0.005,	305.276
0.005,	346.104
0.015,	348.183
0.025,	368.070
0.035,	370.778
0.045,	389.261
0.055,	375.855
0.065,	363.255
0.075,	353.074
0.085,	307.635
0.095,	304.519
0.105,	275.330
0.115,	250.918
0.125,	253.810
0.135,	244.603
0.145,	243.133
0.155,	224.947
0.165,	215.023
0.175,	226.118
0.185,	222.706
0.195,	233.012
0.205,	212.471
0.215,	217.409
0.225,	186.025
0.235,	185.806
0.245,	172.916
0.255,	189.416
0.285,	154.589
0.295,	183.25
0.305,	197.057
0.315,	224.952
0.325,	251.775
0.335,	238.634
0.345,	254.616
0.355,	264.363
0.365,	267.585
0.375,	275.519
0.385,	284.593
0.415,	307.51
0.485,	346.571
