y,u
-0.515,	414.499
-0.495,	382.819
-0.485,	320.557
-0.475,	301.311
-0.465,	304.113
-0.455,	291.962
-0.445,	271.930
-0.435,	266.789
-0.425,	262.501
-0.415,	249.799
-0.405,	243.986
-0.395,	247.061
-0.385,	235.948
-0.375,	236.268
-0.365,	217.521
-0.355,	211.354
-0.345,	192.912
-0.335,	204.618
-0.325,	205.283
-0.315,	190.758
-0.305,	188.839
-0.295,	176.267
-0.285,	160.016
-0.275,	176.311
-0.265,	178.665
-0.255,	167.950
-0.245,	183.101
-0.235,	170.191
-0.225,	176.546
-0.215,	184.979
-0.205,	177.162
-0.195,	202.399
-0.185,	192.067
-0.175,	187.803
-0.165,	194.345
-0.155,	202.331
-0.145,	209.560
-0.135,	202.285
-0.125,	189.005
-0.115,	202.878
-0.105,	198.229
-0.095,	197.053
-0.085,	216.237
-0.075,	202.273
-0.065,	199.523
-0.055,	216.387
-0.045,	214.663
-0.035,	226.677
-0.025,	247.857
-0.015,	244.137
-0.005,	298.982
0.005,	329.163
0.015,	361.256
0.025,	339.759
0.035,	362.866
0.045,	363.595
0.055,	355.378
0.065,	342.553
0.075,	344.422
0.085,	291.868
0.095,	303.002
0.105,	251.360
0.115,	243.362
0.125,	250.398
0.135,	252.062
0.145,	228.567
0.155,	217.235
0.165,	247.863
0.175,	237.896
0.185,	226.159
0.195,	203.959
0.205,	219.435
0.215,	211.060
0.225,	228.526
0.235,	192.294
0.245,	180.752
0.255,	199.875
0.285,	164.68
0.295,	173.387
0.305,	201.038
0.315,	215.661
0.325,	259.059
0.335,	239.493
0.345,	222.847
0.355,	218.913
0.365,	249.498
0.375,	274.766
0.385,	250.007
0.405,	265.852
0.415,	292.84
0.425,	320.474
0.435,	311.945
0.445,	315.618
0.455,	332.477
0.465,	330.681
0.485,	352.681
0.495,	344.83
