y,u
-0.495,	306.343
-0.485,	267.629
-0.475,	230.109
-0.465,	215.084
-0.455,	233.521
-0.445,	212.864
-0.435,	225.880
-0.425,	193.440
-0.415,	188.681
-0.405,	204.162
-0.395,	194.428
-0.385,	186.189
-0.375,	174.704
-0.365,	183.804
-0.355,	182.586
-0.345,	158.628
-0.335,	157.054
-0.325,	156.956
-0.315,	162.308
-0.305,	149.605
-0.285,	143.918
-0.275,	137.988
-0.255,	141.697
-0.245,	143.767
-0.235,	137.360
-0.215,	144.981
-0.205,	138.245
-0.195,	154.150
-0.185,	154.612
-0.175,	139.787
-0.165,	156.265
-0.155,	148.776
-0.145,	156.433
-0.135,	163.421
-0.125,	152.562
-0.115,	158.400
-0.105,	156.826
-0.095,	164.336
-0.085,	160.417
-0.075,	159.878
-0.065,	168.664
-0.055,	166.046
-0.045,	171.864
-0.035,	213.655
-0.025,	257.199
-0.015,	271.405
-0.005,	290.487
0.005,	307.220
0.015,	306.836
0.025,	315.045
0.035,	319.551
0.045,	325.844
0.055,	317.419
0.065,	293.681
0.075,	283.792
0.085,	246.895
0.095,	236.323
0.105,	207.993
0.115,	196.813
0.125,	164.868
0.135,	185.065
0.145,	182.716
0.155,	167.728
0.165,	162.423
0.175,	145.022
0.245,	158.809
0.255,	173.318
0.265,	164.666
0.275,	177.004
0.285,	188.797
0.295,	180.23
0.305,	179.819
0.315,	179.495
0.325,	204.39
0.335,	207.984
0.345,	201.851
0.355,	205.661
0.365,	193.777
0.375,	195.496
0.385,	210.52
0.395,	215.771
0.405,	204.72
0.415,	214.986
0.425,	232.416
0.435,	255.14
0.445,	275.221
0.455,	268.886
0.465,	278.862
0.475,	282.888
0.485,	290.517
0.495,	285.927
0.505,	286.365
0.515,	300.778
