y,u
-0.515,	372.725
-0.495,	383.793
-0.485,	357.870
-0.475,	332.200
-0.465,	317.253
-0.455,	303.715
-0.445,	290.359
-0.435,	289.483
-0.425,	263.962
-0.415,	277.225
-0.405,	262.673
-0.395,	262.373
-0.385,	262.488
-0.375,	248.787
-0.365,	235.031
-0.355,	233.947
-0.345,	220.469
-0.335,	206.958
-0.325,	205.671
-0.315,	191.981
-0.305,	204.387
-0.295,	190.316
-0.285,	191.040
-0.275,	190.333
-0.265,	177.427
-0.255,	176.999
-0.245,	177.518
-0.235,	189.884
-0.225,	189.829
-0.215,	190.417
-0.205,	190.388
-0.195,	190.455
-0.185,	190.218
-0.175,	201.853
-0.165,	191.079
-0.155,	203.978
-0.145,	203.527
-0.135,	203.195
-0.125,	215.840
-0.115,	216.457
-0.105,	216.200
-0.095,	205.409
-0.085,	217.102
-0.075,	218.120
-0.065,	217.616
-0.055,	217.731
-0.045,	230.336
-0.035,	243.746
-0.025,	259.801
-0.015,	281.775
-0.005,	321.668
0.005,	347.488
0.015,	348.844
0.025,	374.468
0.035,	376.555
0.045,	389.975
0.055,	378.184
0.065,	365.690
0.075,	364.783
0.085,	327.883
0.095,	302.543
0.105,	278.213
0.115,	264.221
0.125,	250.756
0.135,	239.590
0.145,	238.523
0.155,	225.49
0.165,	226.203
0.175,	224.822
0.185,	225.197
0.195,	225.483
0.205,	212.542
0.215,	212.718
0.225,	198.900
0.235,	172.897
0.245,	158.87
0.275,	172.446
0.285,	185.164
0.295,	225.978
0.305,	239.679
0.315,	238.366
0.325,	252.347
0.335,	239.402
0.345,	252.985
0.355,	266.113
0.365,	266.583
0.375,	278.251
0.385,	292.056
0.395,	292.537
0.405,	304.495
0.415,	305.277
0.425,	306.337
0.435,	333.366
0.445,	332.822
0.455,	347.974
0.465,	349.132
0.475,	348.616
0.485,	336.595
0.495,	364.292	
