y,u
-0.495,	378.861
-0.485,	332.625
-0.475,	321.337
-0.465,	307.057
-0.455,	295.881
-0.445,	285.149
-0.435,	273.125
-0.425,	265.754
-0.415,	264.705
-0.405,	264.789
-0.395,	249.360
-0.385,	252.671
-0.375,	234.675
-0.365,	220.409
-0.355,	219.715
-0.345,	206.790
-0.335,	221.835
-0.325,	203.885
-0.315,	187.575
-0.305,	187.267
-0.295,	177.833
-0.285,	181.079
-0.275,	175.725
-0.265,	178.238
-0.255,	175.937
-0.245,	168.109
-0.235,	179.410
-0.225,	178.622
-0.215,	187.286
-0.205,	181.380
-0.195,	187.916
-0.185,	182.362
-0.175,	191.186
-0.165,	200.765
-0.155,	192.792
-0.145,	197.359
-0.135,	190.392
-0.125,	193.529
-0.115,	204.080
-0.105,	203.446
-0.095,	207.130
-0.085,	222.132
-0.075,	206.359
-0.065,	200.653
-0.055,	216.583
-0.045,	217.623
-0.035,	230.402
-0.025,	267.195
-0.015,	269.79
-0.005,	301.710
0.005,	334.546
0.015,	359.204
0.025,	354.033
0.035,	392.844
0.045,	377.498
0.055,	363.215
0.065,	353.546
0.075,	352.440
0.085,	325.485
0.095,	302.980
0.105,	262.789
0.115,	256.72
0.125,	253.080
0.135,	236.462
0.145,	223.784
0.155,	224.969
0.165,	219.236
0.175,	225.425
0.185,	227.346
0.195,	217.960
0.205,	212.124
0.215,	213.868
0.225,	217.54
0.235,	190.323
0.245,	195.855
0.285,	180.81
0.295,	184.6
0.305,	216.257
0.315,	236.462
0.325,	246.877
0.335,	244.852
0.345,	249.647
0.355,	254.559
0.365,	280.463
0.375,	270.411
0.385,	286.296
0.395,	284.22
0.405,	291.322
0.415,	310.383
0.425,	318.084
0.435,	315.855
0.445,	332.46
0.455,	347.259
0.465,	334.651
0.485,	353.704
