X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.765,0.015,0.775,504.713,23.620827243,1518
0.765,0.025,0.775,420.227,23.620827243,1518
0.765,0.035,0.775,359.743,23.620827243,1518
0.765,0.045,0.775,291.219,23.620827243,1518
0.765,0.055,0.775,371.062,23.620827243,1518
0.765,0.065,0.775,351.902,23.620827243,1518
0.775,-0.005,0.775,631.522,23.620827243,1518
0.775,0.005,0.775,493.091,23.620827243,1518
0.775,0.015,0.775,86.9754,23.620827243,1518
0.775,0.015,0.785,457.626,23.620827243,1518
0.775,0.015,0.795,589.502,23.620827243,1518
0.775,0.015,0.805,616.157,23.620827243,1518
0.775,0.025,0.785,187.235,23.620827243,1518
0.775,0.025,0.795,395.629,23.620827243,1518
0.775,0.025,0.805,446.252,23.620827243,1518
0.775,0.025,0.815,530.796,23.620827243,1518
0.775,0.025,0.825,594.13,23.620827243,1518
0.775,0.035,0.785,211.164,23.620827243,1518
0.775,0.035,0.795,376.65,23.620827243,1518
0.775,0.035,0.805,424.485,23.620827243,1518
0.775,0.035,0.815,440.305,23.620827243,1518
0.775,0.035,0.825,457.501,23.620827243,1518
0.775,0.045,0.775,48.2098,23.620827243,1518
0.775,0.045,0.785,387.902,23.620827243,1518
0.775,0.045,0.795,417.457,23.620827243,1518
0.775,0.045,0.805,337.256,23.620827243,1518
0.775,0.045,0.815,314.436,23.620827243,1518
0.775,0.045,0.825,444.112,23.620827243,1518
0.775,0.045,0.835,505.085,23.620827243,1518
0.775,0.055,0.775,173.014,23.620827243,1518
0.775,0.055,0.785,475.963,23.620827243,1518
0.775,0.055,0.795,430.978,23.620827243,1518
0.775,0.055,0.805,422.031,23.620827243,1518
0.775,0.055,0.815,359.811,23.620827243,1518
0.775,0.065,0.775,152.644,23.620827243,1518
0.775,0.065,0.785,412.851,23.620827243,1518
0.775,0.065,0.795,396.455,23.620827243,1518
0.775,0.065,0.805,353.856,23.620827243,1518
0.775,0.075,0.775,354.58,23.620827243,1518
0.775,0.075,0.785,336.556,23.620827243,1518
0.775,0.085,0.775,308.281,23.620827243,1518
0.785,-0.015,0.775,617.689,23.620827243,1518
0.785,-0.005,0.775,142.965,23.620827243,1518
0.785,-0.005,0.785,552.402,23.620827243,1518
0.785,-0.005,0.795,736.599,23.620827243,1518
0.785,-0.005,0.805,865.228,23.620827243,1518
0.785,0.005,0.785,7.67396,23.620827243,1518
0.785,0.005,0.795,67.6445,23.620827243,1518
0.785,0.005,0.805,134.78,23.620827243,1518
0.785,0.005,0.815,440.174,23.620827243,1518
0.785,0.005,0.825,595.82,23.620827243,1518
0.785,0.005,0.835,704.753,23.620827243,1518
0.785,0.005,0.845,825.744,23.620827243,1518
0.785,0.015,0.815,17.2554,23.620827243,1518
0.785,0.015,0.825,104.118,23.620827243,1518
0.785,0.015,0.835,215.039,23.620827243,1518
0.785,0.015,0.845,642.88,23.620827243,1518
0.785,0.015,0.855,792.927,23.620827243,1518
0.785,0.015,0.865,909.827,23.620827243,1518
0.785,0.025,0.825,9.68554,23.620827243,1518
0.785,0.025,0.835,78.722,23.620827243,1518
0.785,0.025,0.845,113.964,23.620827243,1518
0.785,0.025,0.855,501.791,23.620827243,1518
0.785,0.025,0.865,815.763,23.620827243,1518
0.785,0.025,0.875,879.904,23.620827243,1518
0.785,0.025,0.885,921.023,23.620827243,1518
0.785,0.035,0.835,5.99442,23.620827243,1518
0.785,0.035,0.845,161.703,23.620827243,1518
0.785,0.035,0.855,579.117,23.620827243,1518
0.785,0.035,0.865,736.485,23.620827243,1518
0.785,0.035,0.875,800.597,23.620827243,1518
0.785,0.035,0.885,840.118,23.620827243,1518
0.785,0.035,0.895,858.063,23.620827243,1518
0.785,0.045,0.805,2.89064,23.620827243,1518
0.785,0.045,0.825,74.2186,23.620827243,1518
0.785,0.045,0.835,198.52,23.620827243,1518
0.785,0.045,0.845,348.894,23.620827243,1518
0.785,0.045,0.855,479.019,23.620827243,1518
0.785,0.045,0.865,591.426,23.620827243,1518
0.785,0.045,0.875,687.82,23.620827243,1518
0.785,0.045,0.885,737.918,23.620827243,1518
0.785,0.045,0.895,745.373,23.620827243,1518
0.785,0.055,0.795,50.5792,23.620827243,1518
0.785,0.055,0.805,119.643,23.620827243,1518
0.785,0.055,0.815,309.899,23.620827243,1518
0.785,0.055,0.825,358.331,23.620827243,1518
0.785,0.055,0.835,340.285,23.620827243,1518
0.785,0.055,0.845,389.3,23.620827243,1518
0.785,0.055,0.855,371.649,23.620827243,1518
0.785,0.055,0.865,414.029,23.620827243,1518
0.785,0.055,0.875,457.393,23.620827243,1518
