X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.755,0.015,0.775,58.1456,26.563679892,1067
0.755,0.025,0.775,38.6342,26.563679892,1067
0.765,0.005,0.775,197.042,26.563679892,1067
0.765,0.015,0.775,172.168,26.563679892,1067
0.765,0.015,0.785,257.325,26.563679892,1067
0.765,0.025,0.775,151.236,26.563679892,1067
0.765,0.025,0.785,229.09,26.563679892,1067
0.765,0.035,0.775,136.082,26.563679892,1067
0.765,0.035,0.785,188.815,26.563679892,1067
0.765,0.045,0.775,124.156,26.563679892,1067
0.765,0.055,0.775,126.754,26.563679892,1067
0.775,-0.025,0.775,235.894,26.563679892,1067
0.775,-0.015,0.775,389.704,26.563679892,1067
0.775,-0.005,0.775,251.691,26.563679892,1067
0.775,-0.005,0.785,427.274,26.563679892,1067
0.775,-0.005,0.795,483.143,26.563679892,1067
0.775,-0.005,0.805,391.923,26.563679892,1067
0.775,0.005,0.775,110.846,26.563679892,1067
0.775,0.005,0.785,227.222,26.563679892,1067
0.775,0.005,0.795,292.192,26.563679892,1067
0.775,0.005,0.805,364.482,26.563679892,1067
0.775,0.005,0.815,407.72,26.563679892,1067
0.775,0.005,0.825,457.307,26.563679892,1067
0.775,0.015,0.785,37.4895,26.563679892,1067
0.775,0.015,0.795,240.286,26.563679892,1067
0.775,0.015,0.805,292.166,26.563679892,1067
0.775,0.015,0.815,333.649,26.563679892,1067
0.775,0.015,0.825,416.615,26.563679892,1067
0.775,0.015,0.835,463.798,26.563679892,1067
0.775,0.025,0.795,26.8598,26.563679892,1067
0.775,0.025,0.805,217.903,26.563679892,1067
0.775,0.025,0.815,293.009,26.563679892,1067
0.775,0.025,0.825,350.859,26.563679892,1067
0.775,0.025,0.835,384.428,26.563679892,1067
0.775,0.025,0.845,474.979,26.563679892,1067
0.775,0.025,0.855,550.998,26.563679892,1067
0.775,0.035,0.795,88.917,26.563679892,1067
0.775,0.035,0.805,212.993,26.563679892,1067
0.775,0.035,0.815,287.451,26.563679892,1067
0.775,0.035,0.825,327.985,26.563679892,1067
0.775,0.035,0.835,354.931,26.563679892,1067
0.775,0.035,0.845,387.522,26.563679892,1067
0.775,0.035,0.855,458.15,26.563679892,1067
0.775,0.045,0.785,61.2404,26.563679892,1067
0.775,0.045,0.795,157.02,26.563679892,1067
