	
-0.495	251.159
-0.485	239.689
-0.475	239.298
-0.465	237.030
-0.455	216.406
-0.445	217.009
-0.435	208.042
-0.425	207.361
-0.415	206.966
-0.405	197.444
-0.395	166.625
-0.385	143.187
-0.375	134.030
-0.365	135.499
-0.355	135.698
-0.345	124.225
-0.335	123.527
-0.325	115.653
-0.315	113.06
-0.305	101.705
-0.295	108.622
-0.285	107.120
-0.275	105.032
-0.265	104.862
-0.255	95.738
-0.245	104.540
-0.235	96.516
-0.225	105.225
-0.215	97.329
-0.205	107.373
-0.195	90.276
-0.185	103.842
-0.175	103.392
-0.165	103.094
-0.155	113.677
-0.145	105.717
-0.135	116.628
-0.125	107.365
-0.115	128.428
-0.105	125.125
-0.095	116.641
-0.085	118.756
-0.075	131.508
-0.065	130.836
-0.055	130.089
-0.045	134.304
-0.035	131.680
-0.025	130.450
-0.015	190.458
-0.005	228.388
0.005	255.994
0.015	247.386
0.025	265.809
0.035	265.674
0.045	264.081
0.055	251.148
0.065	251.683
0.075	235.570
0.085	209.629
0.095	153.304
0.105	145.056
0.115	135.064
0.125	135.815
0.135	138.431
0.145	131.753
0.155	142.359
0.165	132.182
0.175	140.711
0.185	131.440
0.195	129.133
0.205	127.042
0.215	117.183
0.225	116.544
0.235	114.540
0.245	115.077
0.255	115.313
0.265	115.594
0.275	116.679
0.285	118.488
0.295	131.088
0.305	130.141
0.315	145.87
0.325	145.625
0.335	153.941
0.345	154.288
0.355	166.382
0.365	165.412
0.375	164.773
0.385	170.095
0.395	170.164
0.405	183.758
0.415	186.041
0.425	193.96
0.435	194.212
0.445	193.163
0.455	183.693
0.465	180.675
0.475	170.348
0.485	161.717
0.495	160.657
